date,latitude,longitude,no2_satellite
2019-06-04,18.87,72.77,49.8545
2019-06-04,18.87,72.81,46.3564
2019-06-04,18.87,72.85,53.1654
2019-06-04,18.87,72.89,46.4673
2019-06-04,18.87,72.93,53.1654
2019-06-04,18.87,72.97,52.0203
2019-06-04,18.87,73.01,40.1052
2019-06-04,18.87,73.05,46.0045
2019-06-04,18.91,72.77,52.5799
2019-06-04,18.91,72.81,37.7204
2019-06-04,18.91,72.85,46.2903
2019-06-04,18.91,72.89,56.9069
2019-06-04,18.91,72.93,64.7519
2019-06-04,18.91,72.97,48.838
2019-06-04,18.91,73.01,43.3755
2019-06-04,18.91,73.05,45.5871
2019-06-04,18.95,72.77,51.413
2019-06-04,18.95,72.81,57.5506
2019-06-04,18.95,72.85,53.1654
2019-06-04,18.95,72.89,53.6445
2019-06-04,18.95,72.93,66.4645
2019-06-04,18.95,72.97,46.4514
2019-06-04,18.95,73.01,41.3922
2019-06-04,18.95,73.05,49.477
2019-06-04,18.99,72.77,53.1654
2019-06-04,18.99,72.81,69.3989
2019-06-04,18.99,72.85,70.9593
2019-06-04,18.99,72.89,69.4756
2019-06-04,18.99,72.93,64.3428
2019-06-04,18.99,72.97,70.7488
2019-06-04,18.99,73.01,53.1654
2019-06-04,18.99,73.05,47.8672
2019-06-04,19.03,72.77,53.1654
2019-06-04,19.03,72.81,81.5905
2019-06-04,19.03,72.85,92.2879
2019-06-04,19.03,72.89,53.1654
2019-06-04,19.03,72.93,69.9833
2019-06-04,19.03,72.97,65.4141
2019-06-04,19.03,73.01,56.1284
2019-06-04,19.03,73.05,51.8506
2019-06-04,19.07,72.77,77.5338
2019-06-04,19.07,72.81,93.4448
2019-06-04,19.07,72.85,99.5124
2019-06-04,19.07,72.89,91.4583
2019-06-04,19.07,72.93,82.3083
2019-06-04,19.07,72.97,83.5507
2019-06-04,19.07,73.01,62.5139
2019-06-04,19.07,73.05,52.1106
2019-06-04,19.11,72.77,68.1633
2019-06-04,19.11,72.81,83.2271
2019-06-04,19.11,72.85,84.3235
2019-06-04,19.11,72.89,86.7774
2019-06-04,19.11,72.93,87.6935
2019-06-04,19.11,72.97,72.5506
2019-06-04,19.11,73.01,61.9554
2019-06-04,19.11,73.05,61.8567
2019-06-04,19.15,72.77,59.6416
2019-06-04,19.15,72.81,69.7938
2019-06-04,19.15,72.85,53.1654
2019-06-04,19.15,72.89,79.7537
2019-06-04,19.15,72.93,53.1654
2019-06-04,19.15,72.97,61.8928
2019-06-04,19.15,73.01,57.0248
2019-06-04,19.15,73.05,55.5034
2019-06-04,19.19,72.77,61.3007
2019-06-04,19.19,72.81,63.221
2019-06-04,19.19,72.85,51.3617
2019-06-04,19.19,72.89,53.1654
2019-06-04,19.19,72.93,53.1654
2019-06-04,19.19,72.97,78.9463
2019-06-04,19.19,73.01,52.6864
2019-06-04,19.19,73.05,51.8979
2019-06-04,19.23,72.77,62.4893
2019-06-04,19.23,72.81,62.3054
2019-06-04,19.23,72.85,69.2404
2019-06-04,19.23,72.89,46.8032
2019-06-04,19.23,72.93,53.1654
2019-06-04,19.23,72.97,48.8163
2019-06-04,19.23,73.01,37.444
2019-06-04,19.23,73.05,46.8585
2019-06-04,19.27,72.77,40.807
2019-06-04,19.27,72.81,62.4944
2019-06-04,19.27,72.85,44.9168
2019-06-04,19.27,72.89,48.6063
2019-06-04,19.27,72.93,56.6031
2019-06-04,19.27,72.97,38.3155
2019-06-04,19.27,73.01,53.1654
2019-06-04,19.27,73.05,44.6382
2019-06-04,19.31,72.77,45.8991
2019-06-04,19.31,72.81,51.3699
2019-06-04,19.31,72.85,50.0012
2019-06-04,19.31,72.89,48.2015
2019-06-04,19.31,72.93,39.6751
2019-06-04,19.31,72.97,45.6781
2019-06-04,19.31,73.01,53.1654
2019-06-04,19.31,73.05,34.5609
2019-06-04,19.35,72.77,55.1991
2019-06-04,19.35,72.81,44.9471
2019-06-04,19.35,72.85,33.8353
2019-06-04,19.35,72.89,47.9294
2019-06-04,19.35,72.93,48.8635
2019-06-04,19.35,72.97,43.5751
2019-06-04,19.35,73.01,37.1335
2019-06-04,19.35,73.05,31.7255
2019-06-05,18.87,72.77,44.9103
2019-06-05,18.87,72.81,49.8259
2019-06-05,18.87,72.85,48.0717
2019-06-05,18.87,72.89,59.596
2019-06-05,18.87,72.93,52.102
2019-06-05,18.87,72.97,55.0526
2019-06-05,18.87,73.01,34.9557
2019-06-05,18.87,73.05,45.2026
2019-06-05,18.91,72.77,55.0526
2019-06-05,18.91,72.81,58.3299
2019-06-05,18.91,72.85,57.7596
2019-06-05,18.91,72.89,53.391
2019-06-05,18.91,72.93,45.8435
2019-06-05,18.91,72.97,38.135
2019-06-05,18.91,73.01,49.0753
2019-06-05,18.91,73.05,34.3893
2019-06-05,18.95,72.77,48.7139
2019-06-05,18.95,72.81,60.6523
2019-06-05,18.95,72.85,62.0931
2019-06-05,18.95,72.89,52.4837
2019-06-05,18.95,72.93,68.0869
2019-06-05,18.95,72.97,64.2152
2019-06-05,18.95,73.01,55.737
2019-06-05,18.95,73.05,51.6431
2019-06-05,18.99,72.77,65.932
2019-06-05,18.99,72.81,98.3254
2019-06-05,18.99,72.85,78.9623
2019-06-05,18.99,72.89,76.5415
2019-06-05,18.99,72.93,61.3209
2019-06-05,18.99,72.97,55.0526
2019-06-05,18.99,73.01,74.4286
2019-06-05,18.99,73.05,35.617
2019-06-05,19.03,72.77,63.589
2019-06-05,19.03,72.81,84.8174
2019-06-05,19.03,72.85,77.6696
2019-06-05,19.03,72.89,55.0526
2019-06-05,19.03,72.93,76.4704
2019-06-05,19.03,72.97,62.1516
2019-06-05,19.03,73.01,43.2984
2019-06-05,19.03,73.05,54.4163
2019-06-05,19.07,72.77,55.0526
2019-06-05,19.07,72.81,81.0403
2019-06-05,19.07,72.85,99.9144
2019-06-05,19.07,72.89,102.8005
2019-06-05,19.07,72.93,78.1586
2019-06-05,19.07,72.97,65.2594
2019-06-05,19.07,73.01,51.254
2019-06-05,19.07,73.05,61.4255
2019-06-05,19.11,72.77,86.3589
2019-06-05,19.11,72.81,88.0104
2019-06-05,19.11,72.85,55.0526
2019-06-05,19.11,72.89,55.0526
2019-06-05,19.11,72.93,83.3012
2019-06-05,19.11,72.97,55.0526
2019-06-05,19.11,73.01,34.777
2019-06-05,19.11,73.05,45.4953
2019-06-05,19.15,72.77,77.8142
2019-06-05,19.15,72.81,55.0526
2019-06-05,19.15,72.85,88.5967
2019-06-05,19.15,72.89,65.5796
2019-06-05,19.15,72.93,55.0526
2019-06-05,19.15,72.97,68.4518
2019-06-05,19.15,73.01,58.424
2019-06-05,19.15,73.05,48.7856
2019-06-05,19.19,72.77,71.4718
2019-06-05,19.19,72.81,53.4221
2019-06-05,19.19,72.85,64.9833
2019-06-05,19.19,72.89,70.9041
2019-06-05,19.19,72.93,55.0526
2019-06-05,19.19,72.97,53.8021
2019-06-05,19.19,73.01,55.0526
2019-06-05,19.19,73.05,55.9009
2019-06-05,19.23,72.77,60.1322
2019-06-05,19.23,72.81,58.3144
2019-06-05,19.23,72.85,50.9388
2019-06-05,19.23,72.89,53.0893
2019-06-05,19.23,72.93,55.6888
2019-06-05,19.23,72.97,53.8741
2019-06-05,19.23,73.01,53.8419
2019-06-05,19.23,73.05,44.3355
2019-06-05,19.27,72.77,55.0526
2019-06-05,19.27,72.81,56.2168
2019-06-05,19.27,72.85,61.2321
2019-06-05,19.27,72.89,50.9563
2019-06-05,19.27,72.93,52.3021
2019-06-05,19.27,72.97,46.75
2019-06-05,19.27,73.01,38.8431
2019-06-05,19.27,73.05,59.5675
2019-06-05,19.31,72.77,52.7471
2019-06-05,19.31,72.81,51.1008
2019-06-05,19.31,72.85,55.0526
2019-06-05,19.31,72.89,38.2944
2019-06-05,19.31,72.93,52.5684
2019-06-05,19.31,72.97,55.0526
2019-06-05,19.31,73.01,45.1171
2019-06-05,19.31,73.05,55.0526
2019-06-05,19.35,72.77,55.0526
2019-06-05,19.35,72.81,36.7837
2019-06-05,19.35,72.85,55.0526
2019-06-05,19.35,72.89,43.1682
2019-06-05,19.35,72.93,29.2545
2019-06-05,19.35,72.97,28.7027
2019-06-05,19.35,73.01,33.0476
2019-06-05,19.35,73.05,35.7568
2019-06-06,18.87,72.77,56.7326
2019-06-06,18.87,72.81,45.4584
2019-06-06,18.87,72.85,56.7326
2019-06-06,18.87,72.89,56.7326
2019-06-06,18.87,72.93,49.3197
2019-06-06,18.87,72.97,38.5625
2019-06-06,18.87,73.01,42.3213
2019-06-06,18.87,73.05,44.2416
2019-06-06,18.91,72.77,56.7326
2019-06-06,18.91,72.81,52.3179
2019-06-06,18.91,72.85,53.7587
2019-06-06,18.91,72.89,57.5466
2019-06-06,18.91,72.93,69.4426
2019-06-06,18.91,72.97,43.7323
2019-06-06,18.91,73.01,64.5203
2019-06-06,18.91,73.05,37.551
2019-06-06,18.95,72.77,38.3687
2019-06-06,18.95,72.81,56.7326
2019-06-06,18.95,72.85,63.8921
2019-06-06,18.95,72.89,76.1674
2019-06-06,18.95,72.93,51.7826
2019-06-06,18.95,72.97,59.2952
2019-06-06,18.95,73.01,40.6617
2019-06-06,18.95,73.05,61.8225
2019-06-06,18.99,72.77,70.7764
2019-06-06,18.99,72.81,63.236
2019-06-06,18.99,72.85,57.082
2019-06-06,18.99,72.89,81.618
2019-06-06,18.99,72.93,66.073
2019-06-06,18.99,72.97,71.2434
2019-06-06,18.99,73.01,55.5274
2019-06-06,18.99,73.05,50.5459
2019-06-06,19.03,72.77,63.2508
2019-06-06,19.03,72.81,80.5089
2019-06-06,19.03,72.85,83.7192
2019-06-06,19.03,72.89,86.8724
2019-06-06,19.03,72.93,56.7326
2019-06-06,19.03,72.97,77.0728
2019-06-06,19.03,73.01,71.4556
2019-06-06,19.03,73.05,53.447
2019-06-06,19.07,72.77,86.4351
2019-06-06,19.07,72.81,95.3767
2019-06-06,19.07,72.85,100.3073
2019-06-06,19.07,72.89,106.0933
2019-06-06,19.07,72.93,89.8014
2019-06-06,19.07,72.97,55.8792
2019-06-06,19.07,73.01,58.7186
2019-06-06,19.07,73.05,59.411
2019-06-06,19.11,72.77,81.8821
2019-06-06,19.11,72.81,68.1025
2019-06-06,19.11,72.85,75.7783
2019-06-06,19.11,72.89,88.961
2019-06-06,19.11,72.93,62.6037
2019-06-06,19.11,72.97,68.1402
2019-06-06,19.11,73.01,63.1775
2019-06-06,19.11,73.05,45.7625
2019-06-06,19.15,72.77,63.7603
2019-06-06,19.15,72.81,78.9507
2019-06-06,19.15,72.85,72.2375
2019-06-06,19.15,72.89,56.7326
